,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen,P_Freq_VarStrLen,Rho_Freq_MeanStrLen,P_Freq_MeanStrLen,Fisher_z_Freq_VarStrLen_MeanStrLen,Fisher_p_Freq_VarStrLen_MeanStrLen
Dutch,-0.9052631578947368,4.1218738017445394e-08,-0.31949124670030615,8.703794942150991e-197,-0.467818872704903,8.21541521712364e-09,-0.7111538396389497,9.53341394276669e-47,3.6633226857450265,0.00024896457819445494
Hebrew,-0.5466984570938462,0.08181234808652157,-0.28198271854881235,0.0,-0.37869805566149606,7.999384349551182e-05,-0.535797786674236,3.5031247231584275e-16,1.6250553842503686,0.10415075827724252
Mam,-0.9729323308270676,6.714944202233509e-13,-0.3099811336273136,2.5006064097707346e-240,-0.2902601468154036,0.0002372478375032811,-0.5173933400953897,5.441590159742033e-24,2.7965847080294775,0.0051645870546597195
Italian,-0.9721597936408257,8.626107820163842e-13,-0.31888563875217524,1.70497036013546e-300,-0.3939022637866624,2.9698619949324525e-06,-0.6579546469950012,9.574439067841243e-35,3.4745511644332643,0.0005117087670958309
Indonesian,-0.9251526567366758,1.0037828330081168e-10,-0.2595620470952088,1.2534107472309187e-111,-0.508737266580865,1.016917620953738e-09,-0.5516376824634477,1.2890070610864106e-23,0.5522877957794072,0.5807511907563971
Portuguese,-0.9705882352941178,1.1001306700206495e-10,-0.3224305307909427,1.3719211134480834e-293,-0.564766698855609,3.818323322304147e-12,-0.6572550379412517,1.5427698699821463e-33,1.3586983494463862,0.17424219535279506
Lukpa,-0.8147058823529412,0.00012130950572235612,-0.3350569608603671,3.8745153863905555e-190,-0.2889875924484995,0.0008150392103731196,-0.5833842426984267,1.4349927333843225e-28,3.496907983375275,0.0004706841555246477
Somali,-0.9935064935064933,2.1102349405432995e-19,-0.3318824042221573,0.0,-0.41685725513569893,1.2009803684941746e-06,-0.5933224276333249,7.071869966559861e-27,2.1896166230896674,0.028552052422475604
Latin,-0.9979360165118679,1.6451231715312417e-20,-0.28493484118193324,5.193998787509795e-291,-0.4303224659693886,1.9632154585487936e-06,-0.7171149782871991,3.036390479383857e-35,3.7562686420394886,0.0001724655601909042
Danish,-0.9077922077922078,1.33316709163655e-08,-0.3173283638131667,3.7005775749068922e-208,-0.46327898904624243,7.726154191303731e-08,-0.6934241526825727,2.591014887710867e-38,3.1800606412885912,0.0014724423555978472
Zarma,-0.9093137254901962,4.274417714447823e-07,-0.3173350942814909,6.793826929509136e-99,-0.4134382689311353,7.57055680285661e-07,-0.6935331696110514,2.4398771660774806e-42,3.9166711463458332,8.978008541604687e-05
Turkish,-0.9931796561490199,3.36039155335384e-19,-0.33031515101764786,0.0,-0.4187329424814384,7.930321824787375e-06,-0.6459294421120843,3.0750107791721037e-25,2.6538085059370005,0.007958897942584198
K'iche',-0.9823529411764707,1.3641238342610768e-11,-0.28328895905498463,8.868505765660692e-130,-0.39455729877366064,4.0558649293897755e-06,-0.5871823292157912,3.157490088769217e-31,2.427642717545804,0.015197306223880158
Finnish,-0.794858879582559,1.2323685776043973e-06,-0.31943621309468234,0.0,-0.4322073996314192,7.922298179129957e-06,-0.6247909634399627,7.170889815566074e-26,2.2136366199617368,0.026853786092999155
Tagalog,-0.9503759398496241,1.4466901765702984e-10,-0.2752547557303168,1.366691178048217e-176,-0.48813986370843765,2.521298059257901e-09,-0.5944924662647194,4.7836718092623873e-26,1.4008860323121641,0.16124815625070887
Malagasy,-0.8746579091406678,1.1669110560877575e-09,-0.2974093085952818,1.0940646220687799e-219,-0.28476915273092324,0.0021345906970988856,-0.6713146996317664,4.996805695391329e-35,4.572556419352461,4.818094313296939e-06
Barasana,-0.9511427487456349,8.714597044220258e-15,-0.30888068294454935,0.0,-0.5342571944700888,8.314094935803588e-11,-0.573139581278686,3.7170764872702594e-27,0.5248736785846995,0.5996710082688539
Paite,-0.9649122807017543,1.0347287642285863e-10,-0.31236287893045106,2.0004166569633406e-267,-0.3481285240620357,3.280860347983727e-05,-0.5344553191727773,1.1090852444090024e-20,2.183202614455775,0.02902089232141014
Jakalteko,-0.899642788598033,2.8848430471226312e-08,-0.3483337037179556,0.0,-0.22643981397311533,0.009301868631214195,-0.6077377104043238,1.845059861925041e-29,4.438275425143317,9.068253320698716e-06
Vietnamese,-0.8545454545454546,0.0008066741521648989,-0.19600063962263192,2.393759548675055e-28,-0.3688665217346743,2.15558453084101e-06,-0.1997849549041142,0.00022807851434210308,1.8901048514201222,0.058743938412584296
Slovak,-0.9509803921568628,4.79175684831834e-09,-0.3061033802914907,0.0,-0.15055442318140677,0.10517644032652552,-0.6907906507401164,4.346205592645206e-35,6.113346058777098,9.756349061973424e-10
Creole,-0.9678571428571429,3.5965355409315713e-09,-0.2461209374073163,4.795803044085003e-43,-0.3197623707678316,0.00026238364785606305,-0.553031772163986,4.133578457480993e-27,2.7439157606397653,0.006071111504518223
Croatian,-0.9754901960784315,2.8428732666900954e-11,-0.29548354702550644,0.0,-0.3938453150309537,1.7368934463845906e-05,-0.8020034012256914,1.0402567471740055e-52,5.898539724227951,3.667326886613864e-09
Amuzgo,-0.9767340957142499,3.3458047651410917e-16,-0.31088560154647144,5.866742163047708e-307,-0.4287083656453212,4.942931647026458e-07,-0.6045365253221967,8.601618993317666e-29,2.232946418958065,0.025552477976896304
Xhosa,-0.9742833648284318,4.51877069311921e-15,-0.3032848113686367,0.0,-0.47081027201282477,4.5676033567076906e-07,-0.5959152834449702,3.6174200830505354e-19,1.415862495558086,0.15681576751420123
Estonian,-0.9739972307429804,2.2910790751673075e-14,-0.33708055813044463,0.0,-0.4600795773842571,5.457335606003597e-07,-0.6423152204200338,1.43070157050563e-27,2.2348041375458476,0.0254302101073427
