,QtyOfTokens,StrLen_1,StrLen_2,StrLen_3,StrLen_4,StrLen_5,StrLen_6,StrLen_7,StrLen_8,StrLen_9,StrLen_10,StrLen_11,StrLen_12,StrLen_13,StrLen_14,StrLen_15,StrLen_16,StrLen_17,StrLen_18,StrLen_19,StrLen_20,StrLen_21,StrLen_22,StrLen_23,StrLen_24,StrLen_25,StrLen_26,StrLen_27,StrLen_28,StrLen_29,StrLen_30,StrLen_31,StrLen_32,StrLen_33,StrLen_34,StrLen_35
Xhosa,110308.0,1.0,5344.0,4417.0,13670.0,18001.0,13616.0,12150.0,11369.0,9012.0,7830.0,5203.0,3800.0,2369.0,1511.0,1006.0,450.0,307.0,118.0,73.0,30.0,9.0,12.0,7.0,2.0,1.0,,,,,,,,,,
Shuar,132415.0,23.0,9987.0,5974.0,18992.0,18463.0,11594.0,18275.0,10138.0,9904.0,7750.0,6508.0,4773.0,3638.0,2461.0,1416.0,1002.0,645.0,354.0,232.0,112.0,70.0,46.0,33.0,13.0,6.0,5.0,1.0,,,,,,,,
Quichua,116872.0,20.0,481.0,8796.0,12333.0,16065.0,17792.0,15277.0,11430.0,10830.0,8365.0,5446.0,4076.0,2428.0,1560.0,870.0,495.0,305.0,143.0,70.0,55.0,25.0,7.0,3.0,,,,,,,,,,,,
Greek,155833.0,5026.0,17698.0,39800.0,17662.0,22827.0,16591.0,11677.0,9098.0,6153.0,4183.0,2520.0,1450.0,629.0,334.0,134.0,38.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,
Norwegian,169821.0,6336.0,35654.0,50690.0,26557.0,19367.0,12702.0,7196.0,4094.0,2912.0,1950.0,986.0,510.0,275.0,239.0,171.0,139.0,14.0,11.0,5.0,11.0,2.0,,,,,,,,,,,,,,
English,180374.0,4150.0,31239.0,49112.0,39993.0,20789.0,12514.0,8976.0,5555.0,4451.0,1937.0,906.0,396.0,245.0,73.0,36.0,2.0,,,,,,,,,,,,,,,,,,,
Paite,185054.0,23898.0,29716.0,34013.0,35282.0,16448.0,15588.0,13886.0,7345.0,4334.0,2368.0,1067.0,588.0,198.0,224.0,42.0,41.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,
Estonian,124488.0,1388.0,21251.0,16026.0,24195.0,19653.0,14485.0,10393.0,6509.0,4342.0,2590.0,1548.0,919.0,487.0,325.0,163.0,146.0,26.0,24.0,9.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,
Cebuano,195993.0,477.0,41812.0,34357.0,28418.0,24389.0,19926.0,15032.0,9736.0,8507.0,5510.0,3946.0,1986.0,884.0,504.0,288.0,151.0,42.0,20.0,,4.0,,1.0,,,2.0,,,,,,,,,,1.0
Turkish,113977.0,588.0,7520.0,10016.0,15483.0,18353.0,13619.0,14126.0,11052.0,7740.0,6247.0,3852.0,2646.0,1379.0,708.0,342.0,158.0,91.0,36.0,11.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,
Wolaytta,126840.0,2621.0,5170.0,3503.0,11967.0,21406.0,14705.0,21379.0,15094.0,7755.0,7516.0,6126.0,3134.0,2422.0,1739.0,815.0,777.0,350.0,153.0,90.0,49.0,43.0,12.0,8.0,2.0,2.0,2.0,,,,,,,,,
Nahuatl,175731.0,8.0,25288.0,9625.0,20687.0,26998.0,18781.0,16822.0,10553.0,9307.0,7127.0,6547.0,5426.0,4794.0,3641.0,2884.0,2606.0,1419.0,1307.0,851.0,407.0,268.0,161.0,92.0,65.0,38.0,17.0,5.0,7.0,,,,,,,
Dinka,193493.0,12919.0,53235.0,50738.0,38904.0,15334.0,10652.0,6533.0,2276.0,1517.0,766.0,431.0,138.0,38.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,
Jakalteko,218570.0,25.0,11431.0,64831.0,26368.0,53384.0,13263.0,14831.0,11306.0,9553.0,5673.0,3488.0,1778.0,1335.0,625.0,305.0,208.0,97.0,34.0,17.0,12.0,3.0,3.0,,,,,,,,,,,,,
Cabecar,199199.0,113.0,67519.0,38412.0,30832.0,24765.0,15733.0,9264.0,5463.0,3376.0,1799.0,903.0,503.0,232.0,135.0,107.0,9.0,33.0,1.0,,,,,,,,,,,,,,,,,
