,Rho_Freq_StrLen,P_Freq_StrLen,Rho_StrLen_VarFreq_NOVAR0,P_StrLen_VarFreq_NOVAR0,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_StrLen_VarFreq_VAR0,P_StrLen_VarFreq_VAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Greek,-0.33947663265440475,0.0,-0.9912236736529192,1.7217148515872184e-15,-0.31765486538430954,0.00043112139113144166,-0.6639704333007893,1.8636228439978632e-16,0.40033515175084705,6.446494425683062e-06,4.447886882828164,1.999960151478761e-05,-0.748684575914854,0.00014608932094298634,-0.7613024893239048,1.3440493975107781e-44,-0.7241056344954171,1.722874640545603e-38,0.5818778331660561,3.7933983716966687e-22,-1.0626305919890286,0.2890836543095477
English,-0.29497298218609863,5.2951791518518244e-121,-0.9441176470588234,3.933929195107234e-08,-0.41816780496917555,1.346971341956361e-06,-0.617529848171575,2.1884827142958357e-14,0.5750990175308304,2.835538141635513e-12,3.002283248619462,0.0032560480080233035,-0.6400982196375107,0.005645933614649748,-0.7397447705592871,1.931425483779047e-50,-0.6992999036343366,5.189088544320585e-43,0.5634277764240877,3.4296292859349123e-25,-1.1973827471362781,0.2321665014595786
Norwegian,-0.3178291791495052,1.043232829326967e-177,-0.9338345864661652,1.8126865423587107e-09,-0.4643426546181671,2.6250727361421706e-08,-0.6028638459439907,3.214447556120573e-14,0.6285363551899845,1.18539367762801e-15,2.27033753635173,0.024871752757960938,-0.7117019811406922,0.00020361089370871238,-0.7824232249912034,1.9410532985955709e-56,-0.6902688977058523,4.062110070506202e-39,0.5901994294809879,1.8798227365752202e-26,-2.8527884515744133,0.004676827297779937
Romani,-0.31316188773913417,8.250012217948413e-162,-0.9941176470588234,6.4339974884469385e-15,-0.3416383874033864,3.854573558215266e-05,-0.5700333029768354,2.402488160382555e-13,0.4346744645996615,8.957029156309315e-08,3.0221121578158288,0.0030002745282660856,-0.7621430829321193,9.394798579117893e-05,-0.7350750679657451,2.229367771756511e-51,-0.6155357882517856,3.7694066632001893e-32,0.4900515405107223,3.1618660721411716e-19,-3.1458426569774534,0.0018269886992097314
Tagalog,-0.2752547557303168,1.366691178048217e-176,-0.9503759398496241,1.4466901765702984e-10,-0.48813986370843765,2.521298059257901e-09,-0.583199633478484,1.7595953091767562e-13,0.5969891964934285,3.35212265498948e-14,1.504588665939545,0.13485557664698222,-0.5319481393728223,0.008985736238642041,-0.8084317702184214,7.260113520326597e-61,-0.5944924662647194,4.7836718092623873e-26,0.522788888590472,1.6886294784717306e-19,-5.97702303105971,7.62220574490393e-09
Icelandic,-0.31177788427746334,1.629994368929348e-293,-0.9285714285714285,1.2802944161833169e-09,-0.5405414533753357,3.771240921745441e-10,-0.6371362970312744,1.4832036921206762e-14,0.5998904917842316,1.1101395195942671e-12,1.5177938729436824,0.13185916537451123,-0.7407424987145915,3.478464346694755e-05,-0.7849484817810544,5.635088559849415e-51,-0.6981515319819425,4.1830697074156466e-36,0.6041186998658723,4.585195420113194e-25,-2.597104077583782,0.009994560339446828
Finnish,-0.31943621309468234,0.0,-0.794858879582559,1.2323685776043973e-06,-0.4322073996314192,7.922298179129957e-06,-0.6944249576296037,1.5740509592956995e-15,0.6104351179174927,1.9704305101188062e-11,3.9894216220362404,0.00012940172993539808,-0.6337363145792837,0.0003867597633808824,-0.7801404377432107,1.5998871850083513e-47,-0.6247909634399627,7.170889815566074e-26,0.5678556515607364,1.0785863887768208e-20,-4.092756766204612,5.959682138344677e-05
Romanian,-0.27765440035548217,6.973377242475203e-170,-0.9794117647058824,3.982009789755264e-11,-0.34857663491751145,2.1265538204200557e-05,-0.6027634618614086,2.075159075175819e-15,0.48176825062808754,1.279288068111456e-09,3.6441767437422925,0.0003779517028662359,-0.7042414235269084,0.0011043874763150135,-0.7686826086166177,5.808004999040191e-53,-0.6836981912590444,7.446562828147259e-38,0.5595034838107805,3.1358983973012035e-23,-2.4841700056611304,0.013610777134608376
Xhosa,-0.3032848113686367,0.0,-0.9742833648284318,4.51877069311921e-15,-0.47081027201282477,4.5676033567076906e-07,-0.6746032668831772,4.123270132418722e-15,0.6846557230367735,1.1132494848645177e-15,3.4640859216165234,0.0007820186202845313,-0.6180679453704828,0.000765840621385872,-0.7721834164185858,6.893291032944564e-38,-0.5959152834449702,3.6174200830505354e-19,0.5454261883644143,9.92490905898098e-16,-3.9873863647569245,9.664072855770961e-05
Slovene,-0.2915653208521629,7.483376593443449e-287,-0.9699248120300751,1.7143556108377437e-12,-0.41302174909557404,3.3507618764201173e-06,-0.525927192420107,9.608866532386186e-10,0.3921430041130325,1.124971080274083e-05,1.3109829119339802,0.19247534955858225,-0.7528502531160987,3.3953244901721005e-05,-0.778125851523641,3.670486973694522e-49,-0.7410857393421958,2.294611669161143e-42,0.6204177574883126,1.6843724451405957e-26,-1.1627289664272213,0.24612896877467633
Esperanto,-0.32919297257159863,0.0,-0.9855521155830752,9.124170334062525e-14,-0.5235309543111774,3.730415820310212e-09,-0.713203239775904,1.6058164024519736e-18,0.5546333588124862,2.683225073126365e-10,2.9786398033208905,0.003575864462734965,-0.5945902699770658,0.002769415083973392,-0.7697983214929057,3.933933365240973e-47,-0.7179706454285127,2.274364165560592e-38,0.5973651490297998,5.056040759284641e-24,-1.5242360856799932,0.12881760737723216
Chinantec,-0.28777415050669153,1.5767771667954769e-239,-0.9929824561403509,3.322159835845131e-17,-0.4166131442844136,1.1399426291988783e-07,-0.5508461028201617,2.8051699620744645e-13,0.4866949763502914,2.7048692990159646e-10,1.9363451823795328,0.05474394743580833,-0.7464245582857796,0.00010187880309518804,-0.714590881871327,2.6296142721574134e-53,-0.48182795970248854,9.26980176608102e-21,0.4458179204613214,1.1500553410253392e-17,-5.7150531396242545,2.4532292534402885e-08
Malagasy,-0.2974093085952818,1.0940646220687799e-219,-0.8746579091406678,1.1669110560877575e-09,-0.28476915273092324,0.0021345906970988856,-0.3825421562711136,2.665209448588453e-05,0.45028570190303324,4.989569533722982e-07,1.0661010610848494,0.2886913604862942,-0.7173381525291971,8.160285555351683e-06,-0.7660022661337411,7.563150824195975e-51,-0.6713146996317664,4.996805695391329e-35,0.6337061174229007,2.8962260783934668e-30,-2.873272129471423,0.004405986769990612
Danish,-0.3173283638131667,3.7005775749068922e-208,-0.9077922077922078,1.33316709163655e-08,-0.46327898904624243,7.726154191303731e-08,-0.5562278744525003,2.9011297716853325e-11,0.5670735261496582,9.790414595253369e-12,1.3276155883777039,0.18684631696487813,-0.8372119427316961,6.76623853326374e-10,-0.7711740643543287,4.0106488122196394e-52,-0.6934241526825727,2.591014887710867e-38,0.6005612105476126,1.1178593407190175e-26,-2.351817214291765,0.01944314455718964
Cabecar,-0.3151443436034414,5.534476113054399e-181,-0.8039215686274511,0.0001007394030010668,-0.4136822029652502,3.2204775214845253e-06,-0.5453952972419657,1.7014730295290998e-10,0.5849761905592615,3.5025021314773457e-12,1.851409199145127,0.06667617641127849,-0.5887531060775707,0.008000646764603696,-0.7745634361094442,1.2137220597970349e-57,-0.6274744055245544,2.830589107971286e-32,0.5574785410416228,1.9874259465404163e-24,-4.263674801540917,2.754933443115065e-05
Cebuano,-0.2432439014167716,1.5342183652644844e-150,-0.975438596491228,1.3190643557743196e-12,-0.48412792505603375,5.550253332464502e-08,-0.5940127955553645,4.059257841550506e-12,0.4228374770474311,3.0769926110606877e-06,1.3684163399509488,0.1739702499867375,-0.8425762167554168,1.1615104949723032e-10,-0.7670375234122152,4.9795949021064566e-52,-0.6483595616111449,1.2290306506747996e-32,0.5235189446893244,7.708545300122366e-20,-3.2394267597776114,0.001354238607928083
Croatian,-0.29548354702550644,0.0,-0.9754901960784315,2.8428732666900954e-11,-0.3938453150309537,1.7368934463845906e-05,-0.6300976134579358,9.810352276692336e-14,0.6487041297355929,1.0420591012553438e-14,3.7608119697515097,0.00027429978547329354,-0.7396279076578195,0.0001937179848771133,-0.7532521090993138,3.484790632101363e-43,-0.8020034012256914,1.0402567471740055e-52,0.6888527265708366,1.467421094441398e-33,1.7040531296807333,0.08974559145627616
Maori,-0.2585924909891741,7.261361733789232e-52,-0.9628482972136224,1.62399434830459e-10,-0.5080692875276481,2.3192015449442834e-09,-0.6339247572822236,4.596245055485177e-15,0.5160181372456121,1.1788863909856092e-09,1.8350394744477398,0.06899724072488551,-0.7592399530052809,4.179970670501674e-05,-0.7442659491816239,1.5595338033047355e-51,-0.6516731576810446,7.709156284084832e-36,0.527312168273519,8.46819289960579e-22,-2.566081693133652,0.010802234516921675
Akawaio,-0.3485508285153171,4.780447513704826e-269,-0.9434714904875418,4.756862580979776e-11,-0.5203934970393993,8.062368301119272e-10,-0.6176736866136361,3.50427768458538e-14,0.5451576195130685,8.450735037807585e-11,1.4463210141336498,0.15071596723381803,-0.7832606100594001,2.2348312099661772e-06,-0.7456210362530279,3.710645532170292e-49,-0.577642634522858,1.9812519615251587e-25,0.46040640085747264,1.4287864923189147e-15,-4.088325675751255,5.754071601582e-05
Indonesian,-0.2595620470952088,1.2534107472309187e-111,-0.9251526567366758,1.0037828330081168e-10,-0.508737266580865,1.016917620953738e-09,-0.6469906448568138,2.074551742579586e-16,0.6101971287727769,2.6261147319299203e-14,2.296962183720222,0.02329787896391586,-0.5636396802564283,0.0027124358283174234,-0.7848271757864904,1.6660812564618054e-59,-0.5516376824634477,1.2890070610864106e-23,0.4486576922614349,3.184443617703247e-15,-5.97910404391546,6.9223901367096835e-09
Spanish,-0.29799236414276853,1.2270710221185294e-229,-0.9752321981424149,6.588737187082592e-12,-0.3028730083378574,0.0006281289117128322,-0.6719173490507931,1.310626952319957e-17,0.4130652835455354,1.8624863072479424e-06,4.9358256129607065,2.5799979132944615e-06,-0.6789473684210526,0.0013913709079646753,-0.7234115087318476,4.457039861204664e-43,-0.6425463582170019,1.9297978235801595e-31,0.48767789388547117,8.066438553498661e-17,-1.998765159552328,0.04669526349232985
Mam,-0.3099811336273136,2.5006064097707346e-240,-0.9729323308270676,6.714944202233509e-13,-0.2902601468154036,0.0002372478375032811,-0.4914554908658953,7.294038004594596e-11,0.43328811501945463,1.6067974735310725e-08,2.667380612889536,0.008467451657910723,-0.7377053895064362,8.922162053715542e-05,-0.7128668778297931,1.760887123937964e-52,-0.5173933400953897,5.441590159742033e-24,0.41596737627110547,3.0686878973424414e-15,-4.7299306593145625,3.3458392538599652e-06
Basque,-0.28392821495821624,0.0,-0.9360182370900835,4.6329737042905617e-10,-0.3895407153802276,1.0948654684105536e-05,-0.6661583397254525,1.0167805981614535e-16,0.4191977223029348,1.884822150600075e-06,3.6641657774158736,0.00037429329572067824,-0.7325431081307301,7.048168623320884e-05,-0.7431497702095329,1.966670041002772e-40,-0.6056434788443541,1.0320505863314844e-23,0.5126066227242412,2.4242979903344893e-16,-3.208088738289251,0.0015354277575377593
Kabyle,-0.28320192748387024,8.768913670361127e-301,-0.9941176470588234,6.4339974884469385e-15,-0.42418486597836025,2.083205046340771e-06,-0.508870242122436,5.459339680376221e-09,0.4902403887436223,2.325064464536416e-08,1.0510670331152758,0.29547037469845816,-0.6805641990398821,0.0026393999038909835,-0.7582205154834724,2.0081578252242207e-44,-0.5712782354248731,2.0700455042762242e-21,0.45687719389859005,2.586088086688249e-13,-4.252956673392587,3.079491899511466e-05
Aguaruna,-0.2724928523940861,0.0,-0.9532987689099213,2.165582361385204e-12,-0.4735875657774591,2.7728050956263846e-08,-0.5258566116554022,3.5735566613066053e-10,0.38037623287323596,1.3140433806099935e-05,0.6309209130759675,0.5292821686191554,-0.7770200096048753,3.033817057522134e-06,-0.7749157275128553,2.531016827381337e-50,-0.5422520877878373,3.956515542709993e-20,0.46170323034621197,2.4409071071769303e-14,-5.523074469517244,8.57889214940256e-08
German,-0.336076397132469,8.541646320368353e-234,-0.8948051948051948,4.4250104531437685e-08,-0.43645822200215917,2.9031777403750614e-07,-0.6002329575161124,8.766123830971777e-14,0.6296457382393398,2.202260894766013e-15,2.6381285696180217,0.009404777219671645,-0.7695865833612161,1.0624510759446417e-06,-0.7410002193576435,2.920786677550678e-48,-0.6990247167237833,6.474383375400322e-41,0.5514968420422828,6.910612130858341e-23,-1.2018037434377868,0.2305044329639576
Galela,-0.27333160020536057,5.273115778925212e-193,-0.9774436090225563,1.322934226421056e-13,-0.3474157684903345,5.872132628785009e-05,-0.6161519391023809,9.82295002974343e-15,0.5407286481173079,4.437825854394726e-11,3.9318999381710236,0.00013880008472804358,-0.7456194703134017,6.810453219646136e-05,-0.7511225786540346,2.047480473385916e-54,-0.5440573628881585,5.6556560636133046e-24,0.40969712827036314,2.749781554267134e-13,-5.006539795864386,9.635017429725915e-07
French,-0.30517660026673743,6.964431322596464e-235,-0.9649122807017543,1.0347287642285863e-10,-0.3374668730529351,9.801329461974684e-05,-0.6308269356667152,1.4560534742327557e-15,0.524902377803327,2.0131331845837034e-10,4.276390805698272,3.737823481093195e-05,-0.6701754385964912,0.001691308018215136,-0.7067785597880119,2.033179483136799e-41,-0.690634695562424,6.85620571571029e-39,0.5617125907636313,1.9426892756255786e-23,-0.43894652768349857,0.661062049478145
Dutch,-0.31949124670030615,8.703794942150991e-197,-0.9052631578947368,4.1218738017445394e-08,-0.467818872704903,8.21541521712364e-09,-0.6613944889539769,1.4053350741845687e-18,0.49459103011605643,8.101844077930642e-10,2.969879104720314,0.003531231973306123,-0.7337708046090423,4.493077208933851e-05,-0.7655846692728798,4.5209746914601576e-58,-0.7111538396389497,9.53341394276669e-47,0.5393110867778054,1.1623366137592258e-23,-1.6977343217141934,0.09062331051839846
Italian,-0.31888563875217524,1.70497036013546e-300,-0.9721597936408257,8.626107820163842e-13,-0.3939022637866624,2.9698619949324525e-06,-0.6620745224921055,5.429372089100519e-18,0.4257946485007081,3.582870510586407e-07,3.7382388306047076,0.0002773913958957209,-0.7918044160904835,2.416451590118067e-06,-0.7332405387368769,1.2482632010888304e-46,-0.6579546469950012,9.574439067841243e-35,0.5349153006176266,2.5932949708783064e-21,-2.019879907280339,0.04439833771707661
Hebrew,-0.28198271854881235,0.0,-0.5466984570938462,0.08181234808652157,-0.37869805566149606,7.999384349551182e-05,-0.546110000095573,2.4246555847196522e-09,0.4006447728861526,2.7463273692474464e-05,1.8299665957964184,0.07023394391490625,-0.41133982875196534,0.14395645566773613,-0.7583738903169563,1.8021914693419728e-38,-0.535797786674236,3.5031247231584275e-16,0.4350580258347536,1.3512423483142143e-10,-4.530481848691053,1.021479292906054e-05
Aukan,-0.33346302866741223,6.186475693673564e-52,-0.9930069930069931,1.3016730560634403e-10,-0.247663176029272,0.004658326499782514,-0.3438995258458002,6.59785737509763e-05,0.4664754883903476,2.5219567348799384e-08,1.114554498296349,0.2671628092478605,-0.5659340659340659,0.04379259223545482,-0.6688423706405576,7.87243939971973e-46,-0.5533029940916367,6.696680276755338e-29,0.45394642717793354,7.702015144940877e-19,-2.8485280512330013,0.004659575876235606
Amuzgo,-0.31088560154647144,5.866742163047708e-307,-0.9767340957142499,3.3458047651410917e-16,-0.4287083656453212,4.942931647026458e-07,-0.4804844564594184,1.084799199661447e-08,0.49980212606301844,2.2007677125850676e-09,0.670685619005646,0.5036681160645794,-0.6622183489870331,9.111620071887148e-05,-0.753641689231703,1.1270826909174258e-51,-0.6045365253221967,8.601618993317666e-29,0.45947079223832415,9.077743717973316e-16,-3.7712960272579648,0.00019927055573363718
Wolof,-0.38158267030142085,1.8582562645101177e-245,-0.9865707743723946,5.099778988008136e-14,-0.5109995629257138,2.0652498543010849e-10,-0.6505121993591889,1.024406330250552e-17,0.6247418502406058,4.36207910068364e-16,2.4528581328108716,0.015467690458258397,-0.8059014103033103,2.0048627231923252e-06,-0.7815519669432889,1.4805824636978503e-60,-0.6248393781308547,1.362210083650007e-32,0.5307831083552778,2.4761705960365156e-22,-4.532299840035488,8.595377997231977e-06
