ISO 639-3;Language;Family;Genus;Subgenus;Speakers;Script;Parts
↳  ;Thai (tokenised) [Tokenisation by Armin Hoenen, using java.text.BreakIterator with locale TH] ;;;;;;
tur;Turkish;Altaic;Turkic;Southern;50000000;Latin;COMPLETE
ukr;Ukranian;Indo-European;Slavic;East;37000000;Cyrillic;New Testament
ppk;Uma;Austronesian;Malayo-Polynesian;Celebic;20000;Latin;New Testament
usp;Uspanteco;Mayan;Quichean-Mamean;Greater Quichean;3000;Latin;New Testament
vie;Vietnamese;Austro-Asiatic;Mon-Khmer;Viet-Muong;68600000;Latin;COMPLETE
↳  ;Vietnamese (tokenised) [Tokenisation by Armin Hoenen, using vnTokenizer 4.1.1] ;;;;;;
wal;Wolaytta;Afro-Asiatic;Omotic;North;1230000;Latin;New Testament
wol;Wolof;Niger-Congo;Atlantic-Congo;Atlantic;4000000;Latin;New Testament
xho;Xhosa;Niger-Congo;Atlantic-Congo;Volta-Congo;7800000;Latin;COMPLETE
dje;Zarma;Nilo-Saharan;Songhai;Southern;2350000;Latin;COMPLETE
zul;Zulu;Niger-Congo;Atlantic-Congo;Volta-Congo;9980000;Latin;New Testament
