,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Xhosa random(geometric length),-0.4824206790789041,2.041521998009551e-05,-0.32560253488455243,0.0,-0.6124471338081193,3.235847540634733e-07,-0.8266764957938371,1.3173518213352519e-15,0.4907723137281992,9.182927585423433e-05,2.8564473509226764,0.006034659000078346,-0.6872341994490144,5.896916454727037e-17,-0.7948650691967751,1.2931831646464605e-25,0.5858542037212391,1.1567596639146801e-11,2.1738017726178667,0.0318833747760384
Dinka random(geometric length),-0.6213071012561298,1.8832144833689813e-05,-0.42603581355281434,0.0,-0.6148309864727158,2.092042269187603e-11,-0.8995867581801923,6.001005425809972e-36,0.7007336893343608,1.348430763351926e-15,7.880635332625954,5.6788622273557805e-12,-0.6900354726438566,1.7595784046981577e-28,-0.8515841971796592,3.4526637780997065e-55,0.7863051022511973,1.3528365361834495e-41,6.406115442989952,1.1562528554530607e-09
Uspanteco random(geometric length),-0.5790971726347275,3.6238854955905778e-06,-0.36658837403639505,0.0,-0.7129872602191899,6.064795407584062e-17,-0.843713360718737,1.6829148802498387e-28,0.8185711734939437,1.4141258811299339e-25,3.975670635584453,0.0001343296522656701,-0.6998235552479307,1.170655460051012e-27,-0.8271872996355346,3.563449905710344e-46,0.8052199710748296,4.985601628728935e-42,4.7963121863882385,3.429588990708532e-06
Slovak random(geometric length),-0.5644532247912053,1.9588158635478935e-05,-0.3639252741925497,0.0,-0.7276349419682623,2.082099921700419e-13,-0.7203272951229402,4.681145333513877e-13,0.6773321316925286,3.433857698371535e-11,-0.12261930455703055,0.9027549928956243,-0.6362604929556778,6.54918754928505e-17,-0.7928813343094097,7.842160205507966e-31,0.5857441975224087,5.5431165740220974e-14,3.349567075531109,0.001051441328312806
Turkish random(geometric length),-0.5057136907345271,2.020690143497302e-05,-0.33568197348845835,0.0,-0.7212343703839841,2.607277219774931e-11,-0.8327916520283262,2.619870827386989e-17,0.7926391721519417,9.911227677864013e-15,2.436008213208719,0.017836698481320454,-0.6325577970522392,2.601795093679706e-14,-0.8645175918920982,7.483767744445503e-36,0.6764055575126008,7.900660783355134e-17,5.947406422283775,3.104975317620995e-08
Uma random(geometric length),-0.5790971726347275,3.6238854955905778e-06,-0.37592493124922094,0.0,-0.3766348952916428,0.00032368912737763036,-0.8880237179381543,2.015457401171264e-30,0.47685856158487505,3.021297998927556e-06,9.261787605716139,1.7634446076626437e-14,-0.7131392774624581,6.220060120935188e-27,-0.8570837256199794,8.13082120159768e-49,0.751738460487564,2.7859635543884857e-31,5.0486688520447,1.1858429586109703e-06
Achuar random(geometric length),-0.5108806247171069,3.8713922477645966e-06,-0.3469845829307081,0.0,-0.26599284477921314,0.018581029037830966,-0.8428520284478306,3.8061242291038177e-22,0.39181935953564934,0.0003888269325621211,7.951648651634346,1.4747185025663616e-11,-0.6725594145943373,5.849714636791297e-21,-0.8368636186396949,2.6655592986350396e-40,0.6681948697697482,1.2857111809705012e-20,4.487168392824774,1.45299154168659e-05
Zulu random(geometric length),-0.4676112563672305,2.0538127723791998e-05,-0.3193794283589819,0.0,-0.618291001335156,6.295060383792894e-07,-0.7575396554919276,3.348500752168711e-11,0.4142705726872608,0.001844155503477756,1.5115665425938776,0.13681623426239317,-0.6643683259795554,8.218119620601705e-15,-0.769310114766415,5.845029481037517e-22,0.5007062054099736,4.604643515532191e-08,1.8118625515951843,0.0729212855965827
English random(geometric length),-0.5908837533840098,1.925855893836039e-05,-0.3969198872532451,0.0,-0.7731838153514873,4.2972466023327586e-18,-0.875783555967408,5.529331848124453e-28,0.8878093065577984,1.0396361364773038e-29,4.0449135063668615,0.00011772231870240292,-0.6677508143242432,7.408444078555539e-25,-0.8046048629341339,1.3287902019725775e-42,0.8170167254607091,6.601123382223186e-45,5.063982950876429,1.0150135740804975e-06
Vietnamese random(geometric length),-0.5684810741856909,0.0001055051300627965,-0.37382725745937495,0.0,-0.1924109555626038,0.0813884421808645,-0.8337633618055312,1.3424099848598696e-22,0.0573745647973015,0.6064099972677852,6.674748834451463,2.9700396849837967e-09,-0.5538801654385802,1.9936063448868396e-16,-0.7625120515794183,7.90549060063459e-37,0.39634123946494737,1.963135659542461e-08,4.075657169767256,6.818295490116382e-05
Latin random(geometric length),-0.520622236557478,2.006321833251995e-05,-0.3661606305730675,0.0,-0.7830126333316176,1.1601353465178875e-15,-0.860897305479464,1.2330098984169036e-21,0.9134001670739391,3.0142642747375684e-28,3.003772119584753,0.0037472114265173274,-0.6495603157325189,1.6965561202041305e-18,-0.8012610978650815,2.9390546550355364e-33,0.7933923218853648,3.3669513565433065e-32,4.630513778422233,8.246196093987489e-06
Jakalteko random(geometric length),-0.5701672948369044,3.6593679697066e-06,-0.37266148975117913,0.0,-0.6359766254699056,6.865458847846024e-13,-0.851421540763129,8.753194738828465e-30,0.7020652927407807,2.0186690150813578e-16,5.1896691142613145,1.1231806225874765e-06,-0.6652723702992474,3.0760003707052497e-24,-0.8223669370629485,3.237785144175667e-45,0.7426632572512131,1.2061429072279773e-32,5.076470882903006,9.721740423680806e-07
